method,corruption,severity,alpha,target_coverage,qhat_standard,qhat_weighted,qhat_final,coverage_standard,coverage_gap_standard,avg_set_size_standard,coverage_weighted,coverage_gap_weighted,avg_set_size_weighted,coverage_final,coverage_gap_final,avg_set_size_final,safe_to_weight,fallback_reason,ess,ess_ratio,min_weight,max_weight,mean_weight,std_weight,domain_prob_mean,domain_prob_std
WCP-RAPS-stabilized,brightness,1,0.1,0.9,0.9214879870414734,0.9184759259223938,0.9184759259223938,0.8975,-0.0025000000000000577,1.1211,0.8903,-0.009700000000000042,1.1104,0.8923,-0.00770000000000004,1.1108,1,weighted,4539.9971453404705,0.907999429068094,0.30533766300376575,3.0452107597750464,1.0,0.31831160580805234,0.49246326905416965,0.07394561768504704
WCP-RAPS-stabilized,brightness,1,0.05,0.95,0.9687336683273315,0.9652944803237915,0.9652944803237915,0.9505,0.000500000000000056,1.2869,0.9435,-0.00649999999999995,1.2678,0.943,-0.007000000000000006,1.2616,1,weighted,4539.9971453404705,0.907999429068094,0.30533766300376575,3.0452107597750464,1.0,0.31831160580805234,0.49246326905416965,0.07394561768504704
WCP-RAPS-stabilized,brightness,2,0.1,0.9,0.9214879870414734,0.9151930809020996,0.9151930809020996,0.8966,-0.0034000000000000696,1.1347,0.8871,-0.012900000000000023,1.1178,0.8856,-0.014399999999999968,1.1148,1,weighted,3702.696978841642,0.7405393957683284,0.0762710045250749,4.9235105777204895,1.0,0.5919181117202327,0.4691809002745291,0.12587390018795125
WCP-RAPS-stabilized,brightness,2,0.05,0.95,0.9687336683273315,0.9626399278640747,0.9626399278640747,0.9482,-0.0017999999999999128,1.3013,0.9422,-0.007799999999999918,1.2717,0.9373,-0.012699999999999934,1.2649,1,weighted,3702.696978841642,0.7405393957683284,0.0762710045250749,4.9235105777204895,1.0,0.5919181117202327,0.4691809002745291,0.12587390018795125
WCP-RAPS-stabilized,brightness,3,0.1,0.9,0.9214879870414734,0.9146767854690552,0.9146767854690552,0.8896,-0.010400000000000076,1.1506,0.8868,-0.01319999999999999,1.1341,0.8852,-0.014800000000000035,1.1325,1,weighted,2814.0094358995098,0.562801887179902,0.02692704847267822,4.966182575195413,1.0,0.8813762970466135,0.4345335810329829,0.1723416331307797
WCP-RAPS-stabilized,brightness,3,0.05,0.95,0.9687336683273315,0.9626399278640747,0.9626399278640747,0.9454,-0.0045999999999999375,1.3243,0.9395,-0.010499999999999954,1.293,0.936,-0.013999999999999901,1.2911,1,weighted,2814.0094358995098,0.562801887179902,0.02692704847267822,4.966182575195413,1.0,0.8813762970466135,0.4345335810329829,0.1723416331307797
WCP-RAPS-stabilized,brightness,4,0.1,0.9,0.9214879870414734,0.9154037237167358,0.9154037237167358,0.8873,-0.012700000000000045,1.1672,0.8848,-0.015199999999999991,1.154,0.8807,-0.019299999999999984,1.1517,1,weighted,2301.6718367856433,0.4603343673571287,0.01595291807238152,5.235411828248055,1.0,1.0827437394233994,0.3957245724044337,0.20331513059612866
WCP-RAPS-stabilized,brightness,4,0.05,0.95,0.9687336683273315,0.9648873805999756,0.9648873805999756,0.9413,-0.00869999999999993,1.3502,0.9397,-0.010299999999999976,1.3305,0.9361,-0.013899999999999912,1.325,1,weighted,2301.6718367856433,0.4603343673571287,0.01595291807238152,5.235411828248055,1.0,1.0827437394233994,0.3957245724044337,0.20331513059612866
WCP-RAPS-stabilized,brightness,5,0.1,0.9,0.9214879870414734,0.9207452535629272,0.9207452535629272,0.8713,-0.02870000000000006,1.2233,0.874,-0.026000000000000023,1.2164,0.8727,-0.02729999999999999,1.2216,1,weighted,1559.903889857542,0.3119807779715084,0.0010391896754903482,6.270489996640123,1.0,1.4850338993601064,0.30861478171437295,0.24257856174072634
WCP-RAPS-stabilized,brightness,5,0.05,0.95,0.9687336683273315,0.9697858691215515,0.9697858691215515,0.9313,-0.01869999999999994,1.4355,0.9336,-0.01639999999999997,1.4452,0.9331,-0.016899999999999915,1.4451,1,weighted,1559.903889857542,0.3119807779715084,0.0010391896754903482,6.270489996640123,1.0,1.4850338993601064,0.30861478171437295,0.24257856174072634
WCP-RAPS-stabilized,jpeg_compression,1,0.1,0.9,0.9214879870414734,0.9287477135658264,0.9287477135658264,0.8661,-0.03390000000000004,1.2943,0.8715,-0.02849999999999997,1.3155,0.8675,-0.03249999999999997,1.3127,1,weighted,2128.1289459091718,0.42562578918183436,0.00349191888482204,5.177893637036015,1.0,1.161671938881235,0.37839537749275526,0.22843830299223442
